[0.427 s] acc=33.81%, ce=0.113, 116992.47 samples/sec, 34.60 gflop/s
[0.855 s] acc=53.86%, ce=0.059, 116986.73 samples/sec, 34.60 gflop/s
[1.283 s] acc=67.06%, ce=0.047, 116671.72 samples/sec, 34.51 gflop/s
[1.711 s] acc=75.47%, ce=0.042, 116810.73 samples/sec, 34.55 gflop/s
[2.141 s] acc=80.97%, ce=0.038, 116470.85 samples/sec, 34.45 gflop/s
[2.569 s] acc=84.51%, ce=0.034, 116666.20 samples/sec, 34.51 gflop/s
[2.996 s] acc=86.78%, ce=0.033, 117034.65 samples/sec, 34.62 gflop/s
[3.424 s] acc=88.35%, ce=0.033, 117003.44 samples/sec, 34.61 gflop/s
[3.851 s] acc=89.40%, ce=0.031, 117088.36 samples/sec, 34.63 gflop/s
[4.281 s] acc=90.10%, ce=0.031, 116344.27 samples/sec, 34.41 gflop/s
[4.708 s] acc=90.57%, ce=0.030, 117063.39 samples/sec, 34.63 gflop/s
[5.135 s] acc=91.02%, ce=0.028, 117142.64 samples/sec, 34.65 gflop/s
[5.562 s] acc=91.41%, ce=0.027, 116933.89 samples/sec, 34.59 gflop/s
[5.990 s] acc=91.61%, ce=0.028, 116845.61 samples/sec, 34.56 gflop/s
[6.420 s] acc=91.95%, ce=0.026, 116232.33 samples/sec, 34.38 gflop/s
[6.847 s] acc=92.09%, ce=0.026, 117191.02 samples/sec, 34.66 gflop/s
[7.273 s] acc=92.39%, ce=0.026, 117212.70 samples/sec, 34.67 gflop/s
[7.701 s] acc=92.56%, ce=0.026, 117002.52 samples/sec, 34.61 gflop/s
[8.129 s] acc=92.64%, ce=0.025, 116738.42 samples/sec, 34.53 gflop/s
[8.558 s] acc=92.68%, ce=0.024, 116572.11 samples/sec, 34.48 gflop/s
[8.985 s] acc=92.74%, ce=0.024, 117073.78 samples/sec, 34.63 gflop/s
[9.413 s] acc=92.93%, ce=0.023, 116864.75 samples/sec, 34.57 gflop/s
[9.839 s] acc=93.20%, ce=0.022, 117260.02 samples/sec, 34.68 gflop/s
[10.269 s] acc=93.27%, ce=0.023, 116514.27 samples/sec, 34.46 gflop/s
[10.697 s] acc=93.30%, ce=0.022, 116697.23 samples/sec, 34.52 gflop/s
[11.124 s] acc=93.41%, ce=0.022, 117152.78 samples/sec, 34.65 gflop/s
[11.551 s] acc=93.59%, ce=0.021, 116915.05 samples/sec, 34.58 gflop/s
[11.979 s] acc=93.76%, ce=0.021, 116871.07 samples/sec, 34.57 gflop/s
[12.409 s] acc=93.85%, ce=0.021, 116401.16 samples/sec, 34.43 gflop/s
[12.835 s] acc=94.02%, ce=0.019, 117330.94 samples/sec, 34.71 gflop/s
[13.264 s] acc=94.08%, ce=0.020, 116575.60 samples/sec, 34.48 gflop/s
[13.692 s] acc=94.26%, ce=0.020, 116681.46 samples/sec, 34.51 gflop/s
[14.120 s] acc=94.35%, ce=0.020, 117035.16 samples/sec, 34.62 gflop/s
[14.549 s] acc=94.35%, ce=0.020, 116390.57 samples/sec, 34.43 gflop/s
[14.977 s] acc=94.38%, ce=0.019, 116925.16 samples/sec, 34.59 gflop/s
[15.406 s] acc=94.36%, ce=0.018, 116586.23 samples/sec, 34.48 gflop/s
[15.832 s] acc=94.38%, ce=0.018, 117363.17 samples/sec, 34.71 gflop/s
[16.260 s] acc=94.46%, ce=0.018, 116872.38 samples/sec, 34.57 gflop/s
[16.689 s] acc=94.59%, ce=0.018, 116467.29 samples/sec, 34.45 gflop/s
[17.116 s] acc=94.74%, ce=0.018, 117048.30 samples/sec, 34.62 gflop/s
[17.544 s] acc=94.90%, ce=0.017, 116804.94 samples/sec, 34.55 gflop/s
[17.971 s] acc=94.96%, ce=0.017, 117080.64 samples/sec, 34.63 gflop/s
[18.399 s] acc=94.94%, ce=0.017, 116862.02 samples/sec, 34.57 gflop/s
[18.827 s] acc=94.95%, ce=0.017, 116767.60 samples/sec, 34.54 gflop/s
[19.255 s] acc=94.96%, ce=0.016, 116882.21 samples/sec, 34.57 gflop/s
[19.682 s] acc=94.98%, ce=0.016, 116987.51 samples/sec, 34.60 gflop/s
[20.109 s] acc=94.95%, ce=0.016, 117098.16 samples/sec, 34.64 gflop/s
[20.537 s] acc=95.06%, ce=0.016, 116898.62 samples/sec, 34.58 gflop/s
[20.968 s] acc=95.18%, ce=0.015, 116129.99 samples/sec, 34.35 gflop/s
[21.396 s] acc=95.37%, ce=0.015, 116808.25 samples/sec, 34.55 gflop/s
[21.822 s] acc=95.51%, ce=0.016, 117396.29 samples/sec, 34.72 gflop/s
[22.249 s] acc=95.55%, ce=0.015, 116872.18 samples/sec, 34.57 gflop/s
[22.678 s] acc=95.56%, ce=0.015, 116759.15 samples/sec, 34.54 gflop/s
[23.106 s] acc=95.62%, ce=0.014, 116667.30 samples/sec, 34.51 gflop/s
[23.534 s] acc=95.62%, ce=0.014, 116882.47 samples/sec, 34.57 gflop/s
[23.961 s] acc=95.69%, ce=0.014, 117062.54 samples/sec, 34.63 gflop/s
[24.388 s] acc=95.76%, ce=0.014, 117122.10 samples/sec, 34.64 gflop/s
[24.815 s] acc=95.80%, ce=0.014, 117015.77 samples/sec, 34.61 gflop/s
[25.244 s] acc=95.97%, ce=0.013, 116762.41 samples/sec, 34.54 gflop/s
[25.672 s] acc=96.08%, ce=0.013, 116786.91 samples/sec, 34.54 gflop/s
[26.099 s] acc=96.13%, ce=0.014, 117022.04 samples/sec, 34.61 gflop/s
[26.526 s] acc=96.14%, ce=0.013, 117144.02 samples/sec, 34.65 gflop/s
[26.956 s] acc=96.12%, ce=0.013, 116172.06 samples/sec, 34.36 gflop/s
[27.384 s] acc=96.13%, ce=0.013, 116970.55 samples/sec, 34.60 gflop/s
[27.810 s] acc=96.14%, ce=0.013, 117244.80 samples/sec, 34.68 gflop/s
[28.237 s] acc=96.13%, ce=0.013, 117009.12 samples/sec, 34.61 gflop/s
[28.666 s] acc=96.14%, ce=0.013, 116716.59 samples/sec, 34.52 gflop/s
[29.096 s] acc=96.20%, ce=0.012, 116144.01 samples/sec, 34.35 gflop/s
[29.524 s] acc=96.23%, ce=0.012, 116809.36 samples/sec, 34.55 gflop/s
[29.952 s] acc=96.23%, ce=0.012, 116921.83 samples/sec, 34.58 gflop/s
[30.379 s] acc=96.29%, ce=0.012, 117103.13 samples/sec, 34.64 gflop/s
[30.806 s] acc=96.39%, ce=0.012, 117222.85 samples/sec, 34.67 gflop/s
[31.235 s] acc=96.48%, ce=0.012, 116434.51 samples/sec, 34.44 gflop/s
